Year,Female,Male,Total
1841,40.36,40.32,40.34
1842,38.54,38.79,38.67
1843,40.26,40.5,40.38
1844,41.75,42.05,41.91
1845,40.79,41.27,41.05
1846,38.21,37.48,37.86
1847,35.84,34.43,35.13
1848,37.91,38.17,38.05
1849,34.53,34.49,34.51
1850,42.13,42.46,42.3
1851,41.76,42.04,41.91
1852,41.72,41.89,41.81
1853,41.35,41.35,41.35
1854,40.09,39.47,39.78
1855,37.84,37.09,37.46
1856,41.14,40.69,40.92
1857,40.65,40.3,40.48
1858,40.67,39.7,40.17
1859,39.49,38.46,38.97
1860,45.72,44.5,45.1
1861,41.79,40.74,41.25
1862,43.62,42.6,43.1
1863,41.88,40.73,41.29
1864,40.21,39.41,39.8
1865,38.39,37.11,37.73
1866,33.3,31.69,32.47
1867,44.08,42.06,43.05
1868,43.53,41.62,42.55
1869,43.3,41.91,42.59
1870,41.75,40.14,40.92
1871,35.22,33.55,34.36
1872,41.02,39.1,40.04
1873,44.68,42.38,43.49
1874,45.82,43.6,44.68
1875,43.4,41.02,42.17
1876,44.88,42.54,43.67
1877,45.75,43.29,44.48
1878,45.62,42.93,44.23
1879,45.18,42.57,43.83
1880,44.01,41.08,42.49
1881,45.92,43.01,44.42
1882,47.08,44.12,45.55
1883,46.45,43.46,44.9
1884,45.72,42.83,44.23
1885,46.95,44.08,45.47
1886,44.92,41.88,43.35
1887,47.76,44.45,46.05
1888,46.81,43.15,44.92
1889,46.79,43.46,45.07
1890,46.12,42.3,44.14
1891,45.88,42.33,44.04
1892,44.82,41.62,43.16
1893,46.05,42.92,44.44
1894,48.69,44.73,46.63
1895,47.23,43.83,45.48
1896,49.77,46.47,48.07
1897,50.59,47.19,48.84
1898,50.04,46.31,48.12
1899,48.23,44.87,46.5
1900,48.51,44.98,46.69
1901,51.21,47.76,49.44
1902,50.82,47.54,49.14
1903,51.01,47.56,49.23
1904,50.84,47.76,49.27
1905,51.68,48.46,50.03
1906,51.34,48.07,49.67
1907,52.78,49.44,51.07
1908,51.38,48.13,49.72
1909,52.4,48.99,50.66
1910,52.99,49.7,51.31
1911,51.12,47.54,49.28
1912,54.08,50.5,52.25
1913,54.37,50.62,52.45
1914,0.0,0.0,0.0
1915,0.0,0.0,0.0
1916,0.0,0.0,0.0
1917,0.0,0.0,0.0
1918,0.0,0.0,0.0
1919,51.06,47.49,49.24
1920,55.92,52.13,53.99
1921,56.36,52.98,54.64
1922,56.86,53.54,55.18
1923,58.59,54.86,56.69
1924,59.22,55.62,57.4
1925,58.95,55.34,57.12
1926,58.73,55.09,56.88
1927,58.91,55.35,57.1
1928,59.33,55.66,57.46
1929,56.95,53.17,55.02
1930,59.23,55.07,57.1
1931,60.48,56.44,58.42
1932,60.44,56.7,58.54
1933,60.64,56.79,58.68
1934,62.32,58.38,60.31
1935,62.01,57.96,59.94
1936,62.18,57.73,59.91
1937,62.07,57.92,59.95
1938,62.47,57.86,60.11
1939,62.37,57.86,60.06
1940,60.73,51.78,55.96
1941,61.73,55.99,58.74
1942,61.96,56.46,59.09
1943,62.91,57.82,60.29
1944,60.76,53.49,56.94
1945,61.27,55.56,58.32
1946,64.82,59.13,61.89
1947,66.19,60.79,63.42
1948,67.6,62.34,64.92
1949,68.06,62.92,65.43
1950,68.89,63.81,66.3
1951,69.28,64.29,66.75
1952,70.46,65.54,67.96
1953,70.9,65.88,68.35
1954,71.13,66.11,68.59
1955,71.24,65.93,68.54
1956,71.61,66.14,68.84
1957,71.91,66.55,69.2
1958,72.58,67.29,69.91
1959,73.07,67.61,70.31
1960,72.64,66.71,69.62
1961,73.53,67.55,70.5
1962,73.13,67.39,70.23
1963,73.09,67.09,70.04
1964,73.79,67.7,70.7
1965,73.64,67.56,70.55
1966,73.67,67.67,70.63
1967,74.08,67.84,70.91
1968,73.78,67.54,70.61
1969,73.97,67.49,70.67
1970,74.14,67.82,70.94
1971,74.38,67.89,71.09
1972,74.71,68.2,71.41
1973,74.92,68.42,71.63
1974,75.23,68.77,71.97
1975,75.21,68.78,71.96
1976,75.41,68.86,72.1
1977,76.06,69.49,72.76
1978,76.06,69.39,72.7
1979,76.52,69.91,73.2
1980,76.66,69.87,73.24
1981,77.04,70.28,73.65
1982,77.16,70.59,73.88
1983,77.14,70.61,73.88
1984,77.78,70.95,74.37
1985,77.87,71.07,74.47
1986,77.99,71.32,74.67
1987,78.62,71.91,75.29
1988,78.91,72.21,75.59
1989,78.92,72.32,75.65
1990,79.33,72.7,76.06
1991,79.47,72.85,76.2
1992,79.67,72.97,76.36
1993,79.74,72.94,76.36
1994,79.99,73.35,76.71
1995,80.18,73.44,76.84
1996,80.46,73.83,77.19
1997,80.55,74.16,77.4
1998,80.56,74.3,77.47
1999,80.87,74.37,77.65
2000,80.89,74.57,77.77
2001,81.16,74.92,78.08
2002,81.18,75.08,78.17
2003,81.19,75.36,78.32
2004,81.85,75.97,78.96
2005,81.85,76.14,79.05
2006,82.14,76.51,79.38
2007,82.19,76.74,79.52
2008,82.29,76.77,79.57
2009,82.42,77.15,79.84
2010,82.62,77.35,80.03
2011,82.84,77.75,80.35
2012,82.81,77.61,80.24
2013,82.9,77.92,80.45
2014,83.49,78.54,81.06
2015,83.13,78.54,80.87
2016,83.66,78.77,81.25
2017,83.63,78.98,81.34
2018,83.67,79.19,81.46
2019,83.98,79.58,81.82
2020,83.05,78.53,80.79
2021,84.02,79.24,81.65
2022,83.8,79.57,81.71
2023,84.08,80.01,82.08
