Year,Female,Male,Total
1960,72.15,66.03,68.99
1961,72.45,66.78,69.53
1962,71.83,65.67,68.63
1963,71.93,65.94,68.85
1964,72.99,65.44,69.06
1965,72.94,66.09,69.4
1966,72.5,66.27,69.3
1967,73.02,66.53,69.67
1968,73.35,67.33,70.28
1969,73.31,66.57,69.85
1970,72.9,66.38,69.56
1971,72.93,66.16,69.46
1972,73.88,67.64,70.69
1973,74.46,66.76,70.48
1974,74.29,66.95,70.53
1975,74.16,67.05,70.53
1976,74.07,66.99,70.46
1977,75.77,67.93,71.77
1978,75.26,68.26,71.72
1979,75.98,68.84,72.39
1980,75.16,69.84,72.56
1981,75.87,68.89,72.39
1982,76.06,68.82,72.44
1983,76.83,69.78,73.33
1984,76.58,69.59,73.11
1985,76.95,70.22,73.63
1986,78.35,70.7,74.54
1987,77.59,70.59,74.13
1988,78.46,70.94,74.73
1989,77.99,71.23,74.67
1990,78.23,72.29,75.36
1991,78.86,71.93,75.45
1992,78.22,71.88,75.11
1993,79.2,72.13,75.72
1994,79.45,73.12,76.37
1995,79.92,72.88,76.43
1996,79.59,73.16,76.44
1997,79.41,73.95,76.79
1998,80.13,73.66,76.96
1999,80.73,74.29,77.59
2000,80.81,74.51,77.74
2001,80.46,75.06,77.85
2002,81.23,74.62,77.96
2003,80.8,74.82,77.84
2004,82.2,76.04,79.19
2005,82.06,76.76,79.48
2006,81.72,76.82,79.3
2007,82.0,76.73,79.43
2008,82.76,78.12,80.53
2009,82.91,78.14,80.62
2010,83.15,77.96,80.61
2011,83.16,78.39,80.83
2012,83.37,78.76,81.1
2013,83.39,79.33,81.39
2014,84.42,79.08,81.77
2015,84.23,79.65,81.97
2016,84.77,79.78,82.29
2017,83.89,79.56,81.74
2018,84.18,79.83,82.01
2019,84.78,79.97,82.38
2020,84.36,79.77,82.05
2021,84.61,80.36,82.48
2022,85.02,80.6,82.8
2023,84.85,81.42,83.15
