Year,Female,Male,Total
1958,68.62,63.02,65.92
1959,68.32,62.61,65.56
1960,70.63,64.81,67.83
1961,70.81,64.86,67.94
1962,70.53,64.55,67.63
1963,71.52,65.4,68.56
1964,71.61,65.75,68.78
1965,72.36,66.4,69.48
1966,72.86,66.72,69.89
1967,72.67,66.34,69.59
1968,73.39,66.89,70.23
1969,72.97,66.31,69.71
1970,72.87,66.17,69.59
1971,72.9,65.75,69.37
1972,73.93,67.02,70.55
1973,74.06,66.88,70.53
1974,74.4,67.5,71.02
1975,74.06,66.74,70.44
1976,74.28,66.55,70.44
1977,74.34,66.31,70.33
1978,74.35,66.12,70.22
1979,74.69,66.48,70.59
1980,74.21,65.76,69.95
1981,75.0,66.83,70.92
1982,74.97,66.98,70.98
1983,74.91,66.78,70.84
1984,74.7,66.56,70.61
1985,74.54,66.27,70.37
1986,74.84,66.48,70.62
1987,74.89,66.53,70.68
1988,75.3,66.81,71.01
1989,75.2,66.46,70.77
1990,75.28,66.25,70.68
1991,75.11,65.87,70.38
1992,75.53,66.45,70.91
1993,75.83,67.12,71.42
1994,76.08,67.43,71.71
1995,76.39,67.55,71.92
1996,76.56,68.0,72.25
1997,76.95,68.3,72.6
1998,77.29,68.66,72.95
1999,77.43,68.63,72.99
2000,77.93,69.52,73.73
2001,78.36,70.05,74.22
2002,78.76,70.37,74.58
2003,78.88,70.56,74.74
2004,79.22,70.71,74.97
2005,79.33,70.84,75.09
2006,79.56,70.99,75.28
2007,79.65,71.02,75.33
2008,79.84,71.31,75.57
2009,79.93,71.58,75.76
2010,80.43,72.13,76.29
2011,80.72,72.49,76.62
2012,80.74,72.6,76.69
2013,80.88,72.95,76.94
2014,81.36,73.62,77.53
2015,81.26,73.43,77.37
2016,81.66,73.77,77.75
2017,81.48,73.78,77.66
2018,81.42,73.66,77.55
2019,81.66,73.99,77.84
2020,80.61,72.47,76.48
2021,79.6,71.64,75.54
2022,81.09,73.43,77.25
2023,82.04,74.68,78.39
