Year,Age,Gender,log_Mu
1950.0,92.0,0.0,-1.346339302279801
1950.0,98.0,0.0,-1.2129092826346617
1951.0,7.0,0.0,-7.612975040776352
1953.0,77.0,0.0,-2.7110647402630814
1956.0,1.0,0.0,-6.3435784797191515
1956.0,24.0,0.0,-7.1472823095468705
1961.0,76.0,0.0,-2.934279759241025
1962.0,59.0,0.0,-4.534991351366845
1962.0,93.0,0.0,-1.348208907514558
1964.0,9.0,0.0,-8.142187290792782
1965.0,67.0,0.0,-3.864042692909579
1967.0,28.0,0.0,-7.043575002124672
1969.0,87.0,0.0,-1.8877903086451506
1970.0,4.0,0.0,-7.633425651247642
1972.0,17.0,0.0,-7.294889430405578
1972.0,22.0,0.0,-7.195437351433918
1973.0,40.0,0.0,-6.128889223019654
1974.0,96.0,0.0,-1.229834349852284
1975.0,53.0,0.0,-5.1526597941256735
1980.0,13.0,0.0,-8.381788554410035
1982.0,28.0,0.0,-7.360311994624152
1984.0,36.0,0.0,-6.880140111949164
1984.0,89.0,0.0,-1.9604361423033703
1986.0,69.0,0.0,-3.9575435207299554
1988.0,13.0,0.0,-8.440232150280108
1989.0,17.0,0.0,-7.596910438272545
1990.0,54.0,0.0,-5.282050394084164
1993.0,68.0,0.0,-4.0244640847738955
1993.0,96.0,0.0,-1.2905079311043395
1995.0,27.0,0.0,-7.376160186864175
1995.0,66.0,0.0,-4.273638706258049
1997.0,28.0,0.0,-7.4421907683872615
1998.0,40.0,0.0,-6.574860863708808
1998.0,79.0,0.0,-3.11029051445476
2000.0,11.0,0.0,-8.818298284200159
1951.0,25.0,1.0,-6.192846606640679
1952.0,77.0,1.0,-2.4252726361088905
1952.0,92.0,1.0,-1.253527260492101
1954.0,77.0,1.0,-2.4778913148940953
1955.0,82.0,1.0,-2.045364805349882
1956.0,86.0,1.0,-1.6452879128278581
1958.0,25.0,1.0,-6.324981155903562
1964.0,11.0,1.0,-7.6649077895179945
1968.0,81.0,1.0,-2.149066041173193
1968.0,99.0,1.0,-0.9680367603092476
1974.0,71.0,1.0,-2.9561077957707735
1976.0,35.0,1.0,-6.135334917527684
1983.0,3.0,1.0,-7.548310009422912
1984.0,76.0,1.0,-2.6892775157789264
1991.0,14.0,1.0,-7.571343657300538
1993.0,72.0,1.0,-3.197138795225414
1994.0,63.0,1.0,-3.9651601038412747
1998.0,4.0,1.0,-8.360189442606572
1998.0,63.0,1.0,-4.042815295678169
1999.0,14.0,1.0,-7.907427619795343
2000.0,84.0,1.0,-2.13240359609426
