Year,Age,Gender,log_Mu
1950.0,35.0,0.0,-6.210616077152654
1950.0,92.0,0.0,-1.346339302279801
1950.0,98.0,0.0,-1.2129092826346617
1951.0,7.0,0.0,-7.612975040776352
1951.0,12.0,0.0,-7.851931214345828
1952.0,21.0,0.0,-7.050471581183732
1953.0,20.0,0.0,-7.146012468106395
1953.0,25.0,0.0,-6.984636323318095
1953.0,33.0,0.0,-6.503624393887109
1953.0,77.0,0.0,-2.7110647402630814
1954.0,80.0,0.0,-2.5043096769349553
1955.0,39.0,0.0,-6.092390465697942
1955.0,43.0,0.0,-5.7483615180541685
1956.0,1.0,0.0,-6.3435784797191515
1956.0,24.0,0.0,-7.1472823095468705
1957.0,71.0,0.0,-3.358712770056
1957.0,88.0,0.0,-1.7371860603028957
1958.0,32.0,0.0,-6.673473983257471
1958.0,94.0,0.0,-1.243070591701567
1961.0,76.0,0.0,-2.934279759241025
1961.0,85.0,0.0,-2.0241355091058706
1962.0,59.0,0.0,-4.534991351366845
1962.0,78.0,0.0,-2.695538796165147
1962.0,93.0,0.0,-1.348208907514558
1964.0,9.0,0.0,-8.142187290792782
1965.0,48.0,0.0,-5.390432655455842
1965.0,67.0,0.0,-3.864042692909579
1967.0,28.0,0.0,-7.043575002124672
1969.0,87.0,0.0,-1.8877903086451506
1969.0,88.0,0.0,-1.8086452347048396
1970.0,4.0,0.0,-7.633425651247642
1971.0,11.0,0.0,-8.213391737084573
1972.0,17.0,0.0,-7.294889430405578
1972.0,22.0,0.0,-7.195437351433918
1973.0,40.0,0.0,-6.128889223019654
1974.0,96.0,0.0,-1.229834349852284
1975.0,53.0,0.0,-5.1526597941256735
1980.0,13.0,0.0,-8.381788554410035
1981.0,24.0,0.0,-7.389022100506583
1982.0,28.0,0.0,-7.360311994624152
1984.0,36.0,0.0,-6.880140111949164
1984.0,89.0,0.0,-1.9604361423033703
1986.0,69.0,0.0,-3.9575435207299554
1987.0,63.0,0.0,-4.418524657714082
1988.0,13.0,0.0,-8.440232150280108
1989.0,17.0,0.0,-7.596910438272545
1990.0,39.0,0.0,-6.708904420236972
1990.0,54.0,0.0,-5.282050394084164
1993.0,68.0,0.0,-4.0244640847738955
1993.0,96.0,0.0,-1.2905079311043395
1994.0,69.0,0.0,-3.963790096250029
1995.0,27.0,0.0,-7.376160186864175
1995.0,66.0,0.0,-4.273638706258049
1997.0,0.0,0.0,-5.007141404842
1997.0,28.0,0.0,-7.4421907683872615
1997.0,54.0,0.0,-5.378010135457285
1998.0,40.0,0.0,-6.574860863708808
1998.0,79.0,0.0,-3.11029051445476
1999.0,35.0,0.0,-6.985716820451849
2000.0,11.0,0.0,-8.818298284200159
2000.0,39.0,0.0,-6.603216089463933
2000.0,84.0,0.0,-2.5027325920139947
1951.0,25.0,1.0,-6.192846606640679
1952.0,26.0,1.0,-6.228707022801694
1952.0,77.0,1.0,-2.4252726361088905
1952.0,92.0,1.0,-1.253527260492101
1954.0,60.0,1.0,-3.768052540018115
1954.0,77.0,1.0,-2.4778913148940953
1955.0,38.0,1.0,-5.759400898419213
1955.0,82.0,1.0,-2.045364805349882
1955.0,94.0,1.0,-1.1402940276627533
1956.0,78.0,1.0,-2.3735012413642824
1956.0,86.0,1.0,-1.6452879128278581
1957.0,53.0,1.0,-4.292551628246279
1957.0,82.0,1.0,-2.0317567501144254
1958.0,25.0,1.0,-6.324981155903562
1958.0,28.0,1.0,-6.394931652553473
1959.0,88.0,1.0,-1.5518720815997276
1959.0,92.0,1.0,-1.2833299137423437
1962.0,94.0,1.0,-1.1206462635697763
1964.0,11.0,1.0,-7.6649077895179945
1968.0,19.0,1.0,-6.18991548583182
1968.0,81.0,1.0,-2.149066041173193
1968.0,99.0,1.0,-0.9680367603092476
1970.0,37.0,1.0,-5.7799078650456925
1970.0,77.0,1.0,-2.4572525730061847
1972.0,17.0,1.0,-6.403954270153111
1974.0,22.0,1.0,-6.146482269374591
1974.0,40.0,1.0,-5.63155484065932
1974.0,71.0,1.0,-2.9561077957707735
1976.0,7.0,1.0,-7.870089949357699
1976.0,35.0,1.0,-6.135334917527684
1982.0,74.0,1.0,-2.8655991485056225
1983.0,3.0,1.0,-7.548310009422912
1984.0,57.0,1.0,-4.310860127246089
1984.0,76.0,1.0,-2.6892775157789264
1991.0,14.0,1.0,-7.571343657300538
1991.0,56.0,1.0,-4.525712264653376
1993.0,72.0,1.0,-3.197138795225414
1994.0,18.0,1.0,-6.461788227564643
1994.0,25.0,1.0,-6.481181207663737
1994.0,63.0,1.0,-3.9651601038412747
1996.0,96.0,1.0,-1.0428805587244854
1998.0,4.0,1.0,-8.360189442606572
1998.0,63.0,1.0,-4.042815295678169
1999.0,14.0,1.0,-7.907427619795343
2000.0,84.0,1.0,-2.13240359609426
