Year,Age,Gender,log_Mu
1950.0,21.0,0.0,-6.943382456625288
1950.0,23.0,0.0,-6.86469578952169
1950.0,35.0,0.0,-6.210616077152654
1950.0,38.0,0.0,-5.986278020420682
1950.0,42.0,0.0,-5.653564758495584
1950.0,53.0,0.0,-4.787411745981875
1950.0,91.0,0.0,-1.4542863051304926
1950.0,92.0,0.0,-1.346339302279801
1950.0,97.0,0.0,-1.144142223166556
1950.0,98.0,0.0,-1.2129092826346617
1951.0,7.0,0.0,-7.612975040776352
1951.0,11.0,0.0,-7.893932138320459
1951.0,12.0,0.0,-7.851931214345828
1951.0,14.0,0.0,-7.600902459542082
1951.0,37.0,0.0,-6.106202224578405
1951.0,40.0,0.0,-5.823580038111797
1951.0,44.0,0.0,-5.534546157410902
1951.0,47.0,0.0,-5.310592397423649
1951.0,53.0,0.0,-4.761707043808319
1951.0,55.0,0.0,-4.637176982123178
1951.0,60.0,0.0,-4.251349311032265
1951.0,74.0,0.0,-2.950778028552949
1951.0,84.0,0.0,-2.0248397264882523
1952.0,14.0,0.0,-7.52951246345541
1952.0,21.0,0.0,-7.050471581183732
1952.0,22.0,0.0,-7.006471251921295
1952.0,40.0,0.0,-5.865008123155422
1952.0,46.0,0.0,-5.412158182971797
1952.0,50.0,0.0,-5.033341131631894
1952.0,53.0,0.0,-4.800090778358562
1952.0,55.0,0.0,-4.658570962715206
1952.0,81.0,0.0,-2.3735763885723307
1952.0,82.0,0.0,-2.2859049827428475
1953.0,10.0,0.0,-8.034767042171945
1953.0,20.0,0.0,-7.146012468106395
1953.0,25.0,0.0,-6.984636323318095
1953.0,27.0,0.0,-6.902767737471098
1953.0,32.0,0.0,-6.575577966643805
1953.0,33.0,0.0,-6.503624393887109
1953.0,47.0,0.0,-5.364670867098058
1953.0,56.0,0.0,-4.60637090656461
1953.0,77.0,0.0,-2.7110647402630814
1953.0,78.0,0.0,-2.620245388965513
1953.0,86.0,0.0,-1.871738178949504
1954.0,10.0,0.0,-7.9748689005908755
1954.0,14.0,0.0,-7.7728777242818925
1954.0,18.0,0.0,-7.355606103586739
1954.0,38.0,0.0,-6.175387385268911
1954.0,48.0,0.0,-5.336019233732048
1954.0,62.0,0.0,-4.194054406371112
1954.0,64.0,0.0,-3.992474129825773
1954.0,66.0,0.0,-3.824057916699502
1954.0,80.0,0.0,-2.5043096769349553
1954.0,82.0,0.0,-2.3100932084843673
1954.0,88.0,0.0,-1.781692313516008
1954.0,89.0,0.0,-1.6935752416404013
1954.0,93.0,0.0,-1.3640633122785686
1955.0,20.0,0.0,-7.2446275956246895
1955.0,26.0,0.0,-7.057416053536543
1955.0,37.0,0.0,-6.2920292453907765
1955.0,39.0,0.0,-6.092390465697942
1955.0,43.0,0.0,-5.7483615180541685
1955.0,48.0,0.0,-5.372179215146492
1955.0,53.0,0.0,-4.913735469356296
1955.0,54.0,0.0,-4.84038631853657
1955.0,60.0,0.0,-4.389494449521402
1955.0,81.0,0.0,-2.407101520550044
1955.0,89.0,0.0,-1.6606838395224464
1955.0,92.0,0.0,-1.4885308726750177
1955.0,97.0,0.0,-1.1062141094312352
1956.0,1.0,0.0,-6.3435784797191515
1956.0,13.0,0.0,-8.019452807198903
1956.0,18.0,0.0,-7.368204695423061
1956.0,24.0,0.0,-7.1472823095468705
1956.0,38.0,0.0,-6.213608598089109
1956.0,62.0,0.0,-4.224681063950104
1956.0,74.0,0.0,-3.0722462146542378
1956.0,76.0,0.0,-2.8508357098507724
1956.0,83.0,0.0,-2.182316260603101
1956.0,87.0,0.0,-1.8361377799510874
1956.0,94.0,0.0,-1.2825471461320388
1957.0,2.0,0.0,-6.939245946073508
1957.0,19.0,0.0,-7.270160897629855
1957.0,21.0,0.0,-7.236259345954173
1957.0,27.0,0.0,-7.003165463786796
1957.0,42.0,0.0,-5.851354839123337
1957.0,51.0,0.0,-5.087246396468096
1957.0,55.0,0.0,-4.75727296419805
1957.0,71.0,0.0,-3.358712770056
1957.0,87.0,0.0,-1.7801313387473912
1957.0,88.0,0.0,-1.7371860603028957
1957.0,92.0,0.0,-1.4020864015818222
1957.0,95.0,0.0,-1.1450971620633554
1957.0,96.0,0.0,-1.1081627494799602
1957.0,98.0,0.0,-1.0297646277236987
1958.0,13.0,0.0,-7.891254760549742
1958.0,32.0,0.0,-6.673473983257471
1958.0,35.0,0.0,-6.469500348050982
1958.0,36.0,0.0,-6.4118402679519
1958.0,47.0,0.0,-5.446353445375441
1958.0,51.0,0.0,-5.104891030021976
1958.0,56.0,0.0,-4.713758126404991
1958.0,72.0,0.0,-3.282508090113056
1958.0,77.0,0.0,-2.7747350238982067
1958.0,84.0,0.0,-2.0768768333576877
1958.0,94.0,0.0,-1.243070591701567
1959.0,0.0,0.0,-3.7420270983248285
1959.0,20.0,0.0,-7.261577153938463
1959.0,24.0,0.0,-7.153655817418963
1959.0,33.0,0.0,-6.604692104492054
1959.0,50.0,0.0,-5.207380371555935
1959.0,59.0,0.0,-4.437962267004185
1959.0,60.0,0.0,-4.423432132732553
1959.0,70.0,0.0,-3.4673371841667002
1959.0,91.0,0.0,-1.537763971561143
1960.0,21.0,0.0,-7.2210970982144955
1960.0,24.0,0.0,-7.184827172321903
1960.0,32.0,0.0,-6.734642661273492
1960.0,33.0,0.0,-6.657775073714368
1960.0,34.0,0.0,-6.537571985018612
1960.0,44.0,0.0,-5.719302286314238
1960.0,53.0,0.0,-5.018717870289612
1960.0,73.0,0.0,-3.241607236870293
1960.0,100.0,0.0,-0.9146520752056465
1961.0,8.0,0.0,-8.031685375634536
1961.0,26.0,0.0,-7.098915784443296
1961.0,30.0,0.0,-6.830794237846009
1961.0,47.0,0.0,-5.474100346502409
1961.0,51.0,0.0,-5.14645501723879
1961.0,57.0,0.0,-4.7505428390038436
1961.0,76.0,0.0,-2.934279759241025
1961.0,85.0,0.0,-2.0241355091058706
1962.0,14.0,0.0,-7.989510450583824
1962.0,17.0,0.0,-7.542633551418106
1962.0,22.0,0.0,-7.248838128161033
1962.0,30.0,0.0,-6.8889335247415495
1962.0,43.0,0.0,-5.792285873247605
1962.0,53.0,0.0,-5.022353687050455
1962.0,58.0,0.0,-4.617040358558579
1962.0,59.0,0.0,-4.534991351366845
1962.0,78.0,0.0,-2.695538796165147
1962.0,83.0,0.0,-2.206974958180723
1962.0,85.0,0.0,-1.9872854216056337
1962.0,92.0,0.0,-1.3805906582032126
1962.0,93.0,0.0,-1.348208907514558
1962.0,98.0,0.0,-1.0276329914318048
1963.0,18.0,0.0,-7.406981766904776
1963.0,33.0,0.0,-6.646930660700239
1963.0,37.0,0.0,-6.3227502570418945
1963.0,53.0,0.0,-4.977393960316454
1963.0,55.0,0.0,-4.870047605786609
1963.0,85.0,0.0,-1.982968402011919
1963.0,91.0,0.0,-1.4984288797278515
1963.0,93.0,0.0,-1.2828356527516607
1964.0,9.0,0.0,-8.142187290792782
1964.0,17.0,0.0,-7.50377574881136
1964.0,18.0,0.0,-7.389022100506583
1964.0,21.0,0.0,-7.280269286950616
1964.0,31.0,0.0,-6.7610608998313335
1964.0,40.0,0.0,-6.08401852871859
1964.0,41.0,0.0,-6.012075501012107
1964.0,48.0,0.0,-5.397695810528315
1964.0,61.0,0.0,-4.3771585032770215
1964.0,81.0,0.0,-2.503013595565041
1964.0,100.0,0.0,-0.9145597309211305
1965.0,7.0,0.0,-7.904713913923747
1965.0,15.0,0.0,-7.7705052439282625
1965.0,16.0,0.0,-7.619066430169753
1965.0,17.0,0.0,-7.518401238030338
1965.0,18.0,0.0,-7.433694540558176
1965.0,41.0,0.0,-6.014937903293624
1965.0,42.0,0.0,-5.875995297301868
1965.0,48.0,0.0,-5.390432655455842
1965.0,51.0,0.0,-5.170276016667152
1965.0,63.0,0.0,-4.229820701784551
1965.0,67.0,0.0,-3.864042692909579
1965.0,74.0,0.0,-3.215830466682241
1965.0,82.0,0.0,-2.3589015084729494
1965.0,92.0,0.0,-1.4299495319632696
1965.0,96.0,0.0,-1.1590089989583496
1966.0,10.0,0.0,-8.209708491668277
1966.0,20.0,0.0,-7.320245002027266
1966.0,23.0,0.0,-7.223836825955616
1966.0,35.0,0.0,-6.484450252745642
